sex,age,country,edu.r,edu.m,edu.f,ses15,sex.orient,sex.orient.bin,names.bin,names.m,names.f,first.born,birth.order,no.children,rel.m,rel.f,rejection.m,rejection.f,overprotection.m,overprotection.f,emotional.m,emotional.f,money.m,money.f,time.m,time.f
0,35,1,3,2,2,2,1,0,0,0,0,0,2,2,7,6,9,9,18,13,22,18,4,4,5,2
0,25,1,4,3,3,3,2,0,0,0,0,0,2,2,7,4,10,10,11,14,19,15,5,5,5,5
0,34,1,4,2,3,3,1,0,0,0,0,1,1,1,6,3,11,15,29,27,21,10,5,2,3,2
0,31,1,4,3,2,2,2,0,1,1,0,1,1,3,7,7,9,9,19,16,17,15,4,4,4,4
0,45,1,3,2,2,2,1,0,0,0,0,1,1,3,7,4,8,11,25,20,21,10,3,3,4,3
0,21,1,3,3,2,2,1,0,0,0,0,1,1,5,6,6,10,8,19,16,17,14,4,4,2,1
0,32,1,4,4,4,4,2,0,0,0,0,1,1,2,5,5,12,12,19,24,13,16,4,4,1,1
0,32,1,3,3,3,3,1,0,0,0,0,0,2,3,7,7,10,9,19,19,22,22,4,4,4,4
1,24,1,4,3,3,3,7,1,0,0,0,0,2,2,6,6,9,9,23,22,19,19,4,4,3,3
0,23,1,4,4,4,4,1,0,1,1,0,1,1,4,5,1,9,23,12,9,13,6,4,4,1,1
0,39,1,4,4,4,4,1,0,0,0,0,1,1,2,7,6,11,12,19,19,21,17,4,4,4,4
0,29,1,4,4,2,3,3,0,0,0,0,1,1,2,3,6,23,10,30,25,12,19,4,4,4,4
0,30,1,4,4,4,2,2,0,0,0,0,1,1,2,6,6,12,9,31,29,21,20,4,4,5,4
0,26,1,4,3,2,3,1,0,0,0,0,1,1,2,6,6,9,10,25,21,17,17,4,4,4,2
0,32,1,4,4,4,4,3,0,0,0,0,0,3,3,5,3,12,11,32,27,13,13,5,5,3,3
0,22,1,3,3,4,4,1,0,0,0,0,1,1,2,7,7,7,7,19,19,19,19,5,5,4,4
0,26,1,4,4,4,3,3,0,0,0,0,1,1,3,7,6,8,8,17,14,24,15,4,4,4,2
0,25,1,4,3,3,3,2,0,0,0,0,0,2,4,5,3,23,18,17,11,13,11,2,2,2,2
